"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"46","susceptible",0,0.0272270130807791,0,0.0272270130807791,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,78958.3379342595,"78958.3379342595","1",0.999999999999998
"47","resistant",1,5.08430429257435e-08,5.08430429257435e-08,0.00254210130324425,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,0.147444824484656,"7372.24122423281","2e-05",0.999999999999998
"48","susceptible",1,0.00254210130324425,5.08430429257435e-08,0.00254210130324425,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,7372.09377940832,"7372.24122423281","0.99998",0.999999999999998
"49","resistant",0,0.00272270130807791,0.00272270130807791,0.0245043117727012,0.0245043117727012,0.00272270130807791,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,7895.83379342595,"78958.3379342595","0.1",0.999999999999998
"50","susceptible",0,0.0245043117727012,0.00272270130807791,0.0245043117727012,0.0245043117727012,0.00272270130807791,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,71062.5041408335,"78958.3379342595","0.9",0.999999999999998
"51","resistant",1,0.540634189786001,0.540634189786001,0.00389530188298076,0.0245043117727012,0.00272270130807791,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,1567839.1503794,"1579135.52584005","0.992846481333744",0.999999999999998
"52","susceptible",1,0.00389530188298076,0.540634189786001,0.00389530188298076,0.0245043117727012,0.00272270130807791,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927331,11296.3754606442,"1579135.52584005","0.00715351866625565",0.999999999999998
"53","resistant",0,0.00544540261615583,0.00544540261615583,0.0217816104646233,0.0217816104646233,0.00544540261615583,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927332,15791.6675868519,"78958.3379342595","0.2",0.999999999999998
"54","susceptible",0,0.0217816104646233,0.00544540261615583,0.0217816104646233,0.0217816104646233,0.00544540261615583,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927332,63166.6703474076,"78958.3379342595","0.8",0.999999999999998
"55","resistant",1,1.08239124961756,1.08239124961756,0.00489581541327204,0.0217816104646233,0.00544540261615583,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927332,3138934.62389092,"3153132.48858941","0.995497219114684",0.999999999999998
"56","susceptible",1,0.00489581541327204,1.08239124961756,0.00489581541327204,0.0217816104646233,0.00544540261615583,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927332,14197.8646984889,"3153132.48858941","0.00450278088531589",0.999999999999998
