"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"2031","resistant",3.66666666666667,1.51985906295852,1.51985906295852,0.00167382386101263,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,36383,56297,"56359","0.998899909508685",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2032","susceptible",3.66666666666667,0.00167382386101263,1.51985906295852,0.00167382386101263,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,36383,62,"56359","0.00110009049131461",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2033","resistant",4,105.995678916237,105.995678916237,0.028832965863895,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,8114,3926179,"3927247","0.999728053774056",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2034","susceptible",4,0.028832965863895,105.995678916237,0.028832965863895,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,8114,1068,"3927247","0.000271946225944026",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2035","resistant",4.33333333333333,116.658746825659,116.658746825659,0.0351503010812653,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,4321149,"4322451","0.999698782010484",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2036","susceptible",4.33333333333333,0.0351503010812653,116.658746825659,0.0351503010812653,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1302,"4322451","0.000301217989515671",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2037","resistant",4.66666666666667,99.9204812183738,99.9204812183738,0.0316406704049484,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,4,3701148,"3702320","0.999683441733832",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2038","susceptible",4.66666666666667,0.0316406704049484,99.9204812183738,0.0316406704049484,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,4,1172,"3702320","0.00031655826616824",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2039","resistant",5,85.8126298086698,85.8126298086698,0.0280230510924373,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,3178580,"3179618","0.99967354569008",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2040","susceptible",5,0.0280230510924373,85.8126298086698,0.0280230510924373,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1038,"3179618","0.000326454309920248",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2041","resistant",5.33333333333333,73.6468460322852,73.6468460322852,0.0260522584818901,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,2727948,"2728913","0.999646379345915",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2042","susceptible",5.33333333333333,0.0260522584818901,73.6468460322852,0.0260522584818901,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,965,"2728913","0.000353620654084612",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2043","resistant",5.66666666666667,63.1855548895925,63.1855548895925,0.022434639169379,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,2340452,"2341283","0.999645066401627",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2044","susceptible",5.66666666666667,0.022434639169379,63.1855548895925,0.022434639169379,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,831,"2341283","0.0003549335983732",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2045","resistant",6,54.2612660058541,54.2612660058541,0.019329965878791,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,3,2009888,"2010604","0.999643888105266",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2046","susceptible",6,0.019329965878791,54.2612660058541,0.019329965878791,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,3,716,"2010604","0.00035611189473412",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2047","resistant",6.33333333333333,46.5470437849917,46.5470437849917,0.0167652357691749,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1724146,"1724767","0.999639951367344",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2048","susceptible",6.33333333333333,0.0167652357691749,46.5470437849917,0.0167652357691749,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,621,"1724767","0.000360048632655889",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2049","resistant",6.66666666666667,39.9168114942483,39.9168114942483,0.0146324602043362,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1478556,"1479098","0.999633560453736",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2050","susceptible",6.66666666666667,0.0146324602043362,39.9168114942483,0.0146324602043362,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,542,"1479098","0.000366439546264007",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2051","resistant",7,34.2916834348839,34.2916834348839,0.0129046420252264,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1270196,"1270674","0.999623821688332",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2052","susceptible",7,0.0129046420252264,34.2916834348839,0.0129046420252264,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,478,"1270674","0.000376178311667666",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2053","resistant",7.33333333333333,29.4109480419663,29.4109480419663,0.0107448693013391,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1089409,"1089807","0.999634797721064",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2054","susceptible",7.33333333333333,0.0107448693013391,29.4109480419663,0.0107448693013391,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,398,"1089807","0.000365202278935628",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2055","resistant",7.66666666666667,25.244881443383,25.244881443383,0.00947600282605538,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,935094,"935445","0.999624777512307",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2056","susceptible",7.66666666666667,0.00947600282605538,25.244881443383,0.00947600282605538,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,351,"935445","0.000375222487693023",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2057","resistant",8,21.613493579757,21.613493579757,0.00753220737455684,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,800584,"800863","0.999651625808659",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2058","susceptible",8,0.00753220737455684,21.613493579757,0.00753220737455684,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,279,"800863","0.000348374191341091",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2059","resistant",8.33333333333333,18.5568752322756,18.5568752322756,0.00564240624115548,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,4,687364,"687573","0.999696032275846",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2060","susceptible",8.33333333333333,0.00564240624115548,18.5568752322756,0.00564240624115548,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,4,209,"687573","0.000303967724154381",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2061","resistant",8.66666666666667,15.9438202079625,15.9438202079625,0.00477849715160058,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,2,590574,"590751","0.999700381378957",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2062","susceptible",8.66666666666667,0.00477849715160058,15.9438202079625,0.00477849715160058,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,2,177,"590751","0.000299618621043384",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2063","resistant",9,13.6867497228641,13.6867497228641,0.00340164204012244,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,4,506970,"507096","0.999751526338208",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2064","susceptible",9,0.00340164204012244,13.6867497228641,0.00340164204012244,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,4,126,"507096","0.00024847366179185",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2065","resistant",9.33333333333333,11.7277008765031,11.7277008765031,0.00278070738200485,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,5,434405,"434508","0.999762950279396",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2066","susceptible",9.33333333333333,0.00278070738200485,11.7277008765031,0.00278070738200485,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,5,103,"434508","0.000237049720603533",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2067","resistant",9.66666666666667,10.0769055921589,10.0769055921589,0.00186280397435277,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,3,373258,"373327","0.999815175436012",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2068","susceptible",9.66666666666667,0.00186280397435277,10.0769055921589,0.00186280397435277,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,3,69,"373327","0.000184824563988139",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2069","resistant",10,8.65186055177905,8.65186055177905,0.00143084942957531,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,320473,"320526","0.999834646799324",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2070","susceptible",10,0.00143084942957531,8.65186055177905,0.00143084942957531,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,53,"320526","0.000165353200676388",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2071","resistant",10.3333333333333,7.43569253095813,7.43569253095813,0.00102589204384645,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,6,275425,"275463","0.999862050438716",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2072","susceptible",10.3333333333333,0.00102589204384645,7.43569253095813,0.00102589204384645,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,6,38,"275463","0.000137949561284093",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2073","resistant",10.6666666666667,6.37357029966847,6.37357029966847,0.000755920453360543,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,27,236083,"236111","0.9998814117089",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2074","susceptible",10.6666666666667,0.000755920453360543,6.37357029966847,0.000755920453360543,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,27,28,"236111","0.000118588291100372",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2075","resistant",11,5.46452196018432,5.46452196018432,0.000512946021923226,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,58,202411,"202430","0.99990614039421",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2076","susceptible",11,0.000512946021923226,5.46452196018432,0.000512946021923226,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,58,19,"202430","9.38596057896557e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2077","resistant",11.3333333333333,4.67237131938057,4.67237131938057,0.000377960226680272,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,192,173069,"173083","0.99991911395111",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2078","susceptible",11.3333333333333,0.000377960226680272,4.67237131938057,0.000377960226680272,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,192,14,"173083","8.0886048889839e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2079","resistant",11.6666666666667,4.01069794825865,4.01069794825865,0.000296968749534499,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,326,148560,"148571","0.999925961324888",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2080","susceptible",11.6666666666667,0.000296968749534499,4.01069794825865,0.000296968749534499,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,326,11,"148571","7.40386751115628e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2081","resistant",12,3.39594563956319,3.39594563956319,0.000188980113340136,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,684,125789,"125796","0.99994435435149",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2082","susceptible",12,0.000188980113340136,3.39594563956319,0.000188980113340136,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,684,7,"125796","5.56456485102865e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2083","resistant",12.3333333333333,2.86869112334421,2.86869112334421,0.000107988636194363,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1260,106259,"106263","0.999962357546841",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2084","susceptible",12.3333333333333,0.000107988636194363,2.86869112334421,0.000107988636194363,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1260,4,"106263","3.76424531586724e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2085","resistant",12.6666666666667,2.40120831725881,2.40120831725881,0.000107988636194363,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,2115,88943,"88947","0.99995502939953",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2086","susceptible",12.6666666666667,0.000107988636194363,2.40120831725881,0.000107988636194363,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,2115,4,"88947","4.49706004699428e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2087","resistant",13,1.9876658349525,1.9876658349525,8.09914771457725e-05,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,3407,73625,"73628","0.99995925463139",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2088","susceptible",13,8.09914771457725e-05,1.9876658349525,8.09914771457725e-05,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,3407,3,"73628","4.0745368609768e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2089","resistant",13.3333333333333,1.624581042908,1.624581042908,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,5054,60176,"60176","1",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2090","susceptible",13.3333333333333,0,1.624581042908,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,5054,0,"60176","0",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2091","resistant",13.6666666666667,1.27880142981365,1.27880142981365,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,7384,47368,"47368","1",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
