"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","nu"
"16583","resistant",6,203.012730453229,203.012730453229,0.0290008282459039,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4588446692,4589102162,0.999857168139461,9,-1.6,0.5,45,8511,452.03536564
"16584","susceptible",6,0.0290008282459039,203.012730453229,0.0290008282459039,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,655470,4589102162,0.000142831860538563,9,-1.6,0.5,45,8511,452.03536564
"16585","resistant",7,202.998535678909,202.998535678909,0.0327457564720466,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4588125865,4588865977,0.99983871570804,9,-1.6,0.5,45,8511,452.03536564
"16586","susceptible",7,0.0327457564720466,202.998535678909,0.0327457564720466,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,740112,4588865977,0.000161284291960048,9,-1.6,0.5,45,8511,452.03536564
"16587","resistant",8,202.987557732542,202.987557732542,0.0364429450706285,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4587877744,4588701419,0.999820499325454,9,-1.6,0.5,45,8511,452.03536564
"16588","susceptible",8,0.0364429450706285,202.987557732542,0.0364429450706285,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,823675,4588701419,0.00017950067454585,9,-1.6,0.5,45,8511,452.03536564
"16589","resistant",0,0,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1033,0,226017682.82,0,9,-1.6,0.5,46,8130,452.03536564
"16590","susceptible",0,10,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1033,226017682.82,226017682.82,1,9,-1.6,0.5,46,8130,452.03536564
"16591","resistant",1,2.16797196522997e-06,2.16797196522997e-06,0.0944757495678143,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1033,49,2135368,2.29468644280517e-05,9,-1.6,0.5,46,8130,452.03536564
"16592","susceptible",1,0.0944757495678143,2.16797196522997e-06,0.0944757495678143,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1033,2135319,2135368,0.999977053135572,9,-1.6,0.5,46,8130,452.03536564
