"","nu","n_u","total_rows","zero_count","proportion_zero"
"1928",0.10481131,0.10481131,217,40,0.184331797235023
"1929",0.10481131,0.10481131,217,40,0.184331797235023
"1930",0.10481131,0.10481131,217,40,0.184331797235023
"1931",0.10481131,0.10481131,217,40,0.184331797235023
"1932",0.10481131,0.10481131,217,40,0.184331797235023
"1933",0.10481131,0.10481131,217,40,0.184331797235023
"1934",0.10481131,0.10481131,217,40,0.184331797235023
"1935",0.10481131,0.10481131,217,40,0.184331797235023
"1936",0.10481131,0.10481131,217,40,0.184331797235023
"1937",0.10481131,0.10481131,217,40,0.184331797235023
"1938",0.10481131,0.10481131,217,40,0.184331797235023
"1939",0.10481131,0.10481131,217,40,0.184331797235023
"1940",0.10481131,0.10481131,217,40,0.184331797235023
"1941",0.10481131,0.10481131,217,40,0.184331797235023
"1942",0.10481131,0.10481131,217,40,0.184331797235023
"1943",0.10481131,0.10481131,217,40,0.184331797235023
"1944",0.10481131,0.10481131,217,40,0.184331797235023
"1945",0.10481131,0.10481131,217,40,0.184331797235023
"1946",0.10481131,0.10481131,217,40,0.184331797235023
"1947",0.10481131,0.10481131,217,40,0.184331797235023
"1948",0.10481131,0.10481131,217,40,0.184331797235023
"1949",0.10481131,0.10481131,217,40,0.184331797235023
"1950",0.10481131,0.10481131,217,40,0.184331797235023
"1951",0.10481131,0.10481131,217,40,0.184331797235023
"1952",0.10481131,0.10481131,217,40,0.184331797235023
"1953",0.10481131,0.10481131,217,40,0.184331797235023
"1954",0.10481131,0.10481131,217,40,0.184331797235023
"1955",0.10481131,0.10481131,217,40,0.184331797235023
"1956",0.10481131,0.10481131,217,40,0.184331797235023
"1957",0.10481131,0.10481131,217,40,0.184331797235023
"1958",0.10481131,0.10481131,217,40,0.184331797235023
"1959",0.10481131,0.10481131,217,40,0.184331797235023
"1960",0.10481131,0.10481131,217,40,0.184331797235023
"1961",0.10481131,0.10481131,217,40,0.184331797235023
"1962",0.10481131,0.10481131,217,40,0.184331797235023
"1963",0.10481131,0.10481131,217,40,0.184331797235023
"1964",0.10481131,0.10481131,217,40,0.184331797235023
"1965",0.10481131,0.10481131,217,40,0.184331797235023
"1966",0.10481131,0.10481131,217,40,0.184331797235023
"1967",0.10481131,0.10481131,217,40,0.184331797235023
"1968",0.10481131,0.10481131,217,40,0.184331797235023
"1969",0.10481131,0.10481131,217,40,0.184331797235023
"1970",0.10481131,0.10481131,217,40,0.184331797235023
"1971",0.10481131,0.10481131,217,40,0.184331797235023
"1972",0.10481131,0.10481131,217,40,0.184331797235023
"1973",0.10481131,0.10481131,217,40,0.184331797235023
"1974",0.10481131,0.10481131,217,40,0.184331797235023
"1975",0.10481131,0.10481131,217,40,0.184331797235023
"1976",0.10481131,0.10481131,217,40,0.184331797235023
"1977",0.10481131,0.10481131,217,40,0.184331797235023
"1978",0.10481131,0.10481131,217,40,0.184331797235023
"1979",0.10481131,0.10481131,217,40,0.184331797235023
"1980",0.10481131,0.10481131,217,40,0.184331797235023
"1981",0.10481131,0.10481131,217,40,0.184331797235023
"1982",0.10481131,0.10481131,217,40,0.184331797235023
"1983",0.10481131,0.10481131,217,40,0.184331797235023
"1984",0.10481131,0.10481131,217,40,0.184331797235023
"1985",0.10481131,0.10481131,217,40,0.184331797235023
"1986",0.10481131,0.10481131,217,40,0.184331797235023
"1987",0.10481131,0.10481131,217,40,0.184331797235023
"1988",0.10481131,0.10481131,217,40,0.184331797235023
"1989",0.10481131,0.10481131,217,40,0.184331797235023
"1990",0.10481131,0.10481131,217,40,0.184331797235023
"1991",0.10481131,0.10481131,217,40,0.184331797235023
"1992",0.10481131,0.10481131,217,40,0.184331797235023
"1993",0.10481131,0.10481131,217,40,0.184331797235023
"1994",0.10481131,0.10481131,217,40,0.184331797235023
"1995",0.10481131,0.10481131,217,40,0.184331797235023
"1996",0.10481131,0.10481131,217,40,0.184331797235023
"1997",0.10481131,0.10481131,217,40,0.184331797235023
"1998",0.10481131,0.10481131,217,40,0.184331797235023
"1999",0.10481131,0.10481131,217,40,0.184331797235023
"2000",0.10481131,0.10481131,217,40,0.184331797235023
"2001",0.10481131,0.10481131,217,40,0.184331797235023
"2002",0.10481131,0.10481131,217,40,0.184331797235023
"2003",0.10481131,0.10481131,217,40,0.184331797235023
"2004",0.10481131,0.10481131,217,40,0.184331797235023
"2005",0.10481131,0.10481131,217,40,0.184331797235023
"2006",0.10481131,0.10481131,217,40,0.184331797235023
"2007",0.10481131,0.10481131,217,40,0.184331797235023
"2008",0.10481131,0.10481131,217,40,0.184331797235023
"2009",0.10481131,0.10481131,217,40,0.184331797235023
"2010",0.10481131,0.10481131,217,40,0.184331797235023
"2011",0.10481131,0.10481131,217,40,0.184331797235023
"2012",0.10481131,0.10481131,217,40,0.184331797235023
"2013",0.10481131,0.10481131,217,40,0.184331797235023
"2014",0.10481131,0.10481131,217,40,0.184331797235023
"2015",0.10481131,0.10481131,217,40,0.184331797235023
"2016",0.10481131,0.10481131,217,40,0.184331797235023
"2017",0.13257114,0.13257114,212,45,0.212264150943396
"2018",0.13257114,0.13257114,212,45,0.212264150943396
"2019",0.13257114,0.13257114,212,45,0.212264150943396
"2020",0.13257114,0.13257114,212,45,0.212264150943396
"2021",0.13257114,0.13257114,212,45,0.212264150943396
"2022",0.13257114,0.13257114,212,45,0.212264150943396
"2023",0.13257114,0.13257114,212,45,0.212264150943396
"2024",0.13257114,0.13257114,212,45,0.212264150943396
"2025",0.13257114,0.13257114,212,45,0.212264150943396
"2026",0.13257114,0.13257114,212,45,0.212264150943396
"2027",0.13257114,0.13257114,212,45,0.212264150943396
"2028",0.13257114,0.13257114,212,45,0.212264150943396
"2029",0.13257114,0.13257114,212,45,0.212264150943396
"2030",0.13257114,0.13257114,212,45,0.212264150943396
"2031",0.13257114,0.13257114,212,45,0.212264150943396
"2032",0.13257114,0.13257114,212,45,0.212264150943396
"2033",0.13257114,0.13257114,212,45,0.212264150943396
"2034",0.13257114,0.13257114,212,45,0.212264150943396
"2035",0.13257114,0.13257114,212,45,0.212264150943396
"2036",0.13257114,0.13257114,212,45,0.212264150943396
"2037",0.13257114,0.13257114,212,45,0.212264150943396
"2038",0.13257114,0.13257114,212,45,0.212264150943396
"2039",0.13257114,0.13257114,212,45,0.212264150943396
"2040",0.13257114,0.13257114,212,45,0.212264150943396
